序号,NEW_TYPE,大类,中类,小类,Big Category,Mid Category,Sub Category
1,010000,汽车服务,汽车服务相关,汽车服务相关,Auto Service,Automobile Service Related,Automobile Service Related
2,010100,汽车服务,加油站,加油站,Auto Service,Filling Station,Filling Station
3,010101,汽车服务,加油站,中国石化,Auto Service,Filling Station,Sinopec
4,010102,汽车服务,加油站,中国石油,Auto Service,Filling Station,PetroChina
5,010103,汽车服务,加油站,壳牌,Auto Service,Filling Station,Shell
6,010104,汽车服务,加油站,美孚,Auto Service,Filling Station,Mobil
7,010105,汽车服务,加油站,加德士,Auto Service,Filling Station,Caltex
8,010107,汽车服务,加油站,东方,Auto Service,Filling Station,FEOSO
9,010108,汽车服务,加油站,中石油碧辟,Auto Service,Filling Station,BP PetroChina
10,010109,汽车服务,加油站,中石化碧辟,Auto Service,Filling Station,BP Sinopec
11,010110,汽车服务,加油站,道达尔,Auto Service,Filling Station,TOTAL
12,010111,汽车服务,加油站,埃索,Auto Service,Filling Station,ESSO
13,010112,汽车服务,加油站,中化道达尔,Auto Service,Filling Station,TOTAL-SINOCHEM
14,010200,汽车服务,其它能源站,其它能源站,Auto Service,Other Energy Station,Other Energy Station
15,010300,汽车服务,加气站,加气站,Auto Service,Filling Station,Filling Station
16,010400,汽车服务,汽车养护/装饰,汽车养护,Auto Service,Automobile Maintenance/Decoration,Automobile Maintenance
17,010401,汽车服务,汽车养护/装饰,加水站,Auto Service,Automobile Maintenance/Decoration,Add Water Station
18,010500,汽车服务,洗车场,洗车场,Auto Service,Car Wash,Car Wash
19,010600,汽车服务,汽车俱乐部,汽车俱乐部,Auto Service,Automobile Club,Automobile Club
20,010700,汽车服务,汽车救援,汽车救援,Auto Service,Automobile Rescue,Automobile Rescue
21,010800,汽车服务,汽车配件销售,汽车配件销售,Auto Service,Automobile Parts Sales,Automobile Parts Sales
22,010900,汽车服务,汽车租赁,汽车租赁,Auto Service,Automobile Rental,Automobile Rental
23,010901,汽车服务,汽车租赁,汽车租赁还车,Auto Service,Automobile Rental,Rent-a-Car Return
24,011000,汽车服务,二手车交易,二手车交易,Auto Service,Used Automobile Dealer,Used Automobile Dealer
25,011100,汽车服务,充电站,充电站,Auto Service,Charging Station,Charging Station
26,020000,汽车销售,汽车销售,汽车销售,Auto Dealers,Automobile Sales,Automobile Sales
27,020100,汽车销售,大众特约销售,大众销售,Auto Dealers,Volkswagen Franchised Sales,Volkswagen Sales
28,020101,汽车销售,大众特约销售,上海大众销售,Auto Dealers,Volkswagen Franchised Sales,Shanghai Volkswagen Sales
29,020102,汽车销售,大众特约销售,一汽-大众销售,Auto Dealers,Volkswagen Franchised Sales,FAW-Volkswagen Sales
30,020103,汽车销售,大众特约销售,斯柯达销售,Auto Dealers,Volkswagen Franchised Sales,Skoda Sales
31,020104,汽车销售,大众特约销售,进口大众销售,Auto Dealers,Volkswagen Franchised Sales,Import Volkswagen Sales
32,020105,汽车销售,大众特约销售,宾利销售,Auto Dealers,Volkswagen Franchised Sales,Bentley Sales
33,020106,汽车销售,大众特约销售,兰博基尼销售,Auto Dealers,Volkswagen Franchised Sales,Lamborghini Sales
34,020200,汽车销售,本田特约销售,本田销售,Auto Dealers,Honda Franchised Sales,Honda Sales
35,020201,汽车销售,本田特约销售,广汽本田销售,Auto Dealers,Honda Franchised Sales,GAC Honda Sales
36,020202,汽车销售,本田特约销售,东风本田销售,Auto Dealers,Honda Franchised Sales,Dongfeng Honda Sales
37,020203,汽车销售,本田特约销售,本田讴歌销售,Auto Dealers,Honda Franchised Sales,Acura Sales
38,020300,汽车销售,奥迪特约销售,奥迪销售,Auto Dealers,Audi Franchised Sales,Audi Sales
39,020301,汽车销售,奥迪特约销售,一汽-大众奥迪销售,Auto Dealers,Audi Franchised Sales,FAW-Audi Sales
40,020400,汽车销售,通用特约销售,通用销售,Auto Dealers,General Motors Franchised Sales,General Motors Sales
41,020401,汽车销售,通用特约销售,凯迪拉克销售,Auto Dealers,General Motors Franchised Sales,Cadillac Sales
42,020402,汽车销售,通用特约销售,别克销售,Auto Dealers,General Motors Franchised Sales,Buick Sales
43,020403,汽车销售,通用特约销售,雪佛兰销售,Auto Dealers,General Motors Franchised Sales,Chevrolet Sales
44,020404,汽车销售,通用特约销售,欧宝销售,Auto Dealers,General Motors Franchised Sales,Opel Sales
45,020405,汽车销售,通用特约销售,萨博销售,Auto Dealers,General Motors Franchised Sales,Saab Sales
46,020406,汽车销售,通用特约销售,沃克斯豪尔销售,Auto Dealers,General Motors Franchised Sales,Vauxhall Sales
47,020407,汽车销售,通用特约销售,土星销售,Auto Dealers,General Motors Franchised Sales,Saturn Sales
48,020408,汽车销售,通用特约销售,大宇销售,Auto Dealers,General Motors Franchised Sales,Daewoo Sales
49,020600,汽车销售,宝马特约销售,宝马销售,Auto Dealers,BMW Franchised Sales,BMW Sales
50,020601,汽车销售,宝马特约销售,宝马MINI销售,Auto Dealers,BMW Franchised Sales,BMW MINI Sales
51,020602,汽车销售,宝马特约销售,劳斯莱斯销售,Auto Dealers,BMW Franchised Sales,Rolls-Royce Sales
52,020700,汽车销售,日产特约销售,日产销售,Auto Dealers,Nissan Franchised Sales,Nissan Sales
53,020701,汽车销售,日产特约销售,东风日产销售,Auto Dealers,Nissan Franchised Sales,Dongfeng Nissan Sales
54,020702,汽车销售,日产特约销售,郑州日产销售,Auto Dealers,Nissan Franchised Sales,Zhengzhou Nissan Sales
55,020703,汽车销售,日产特约销售,英菲尼迪销售,Auto Dealers,Nissan Franchised Sales,Infiniti Sales
56,020800,汽车销售,雷诺特约销售,雷诺销售,Auto Dealers,Renault Franchised Sales,Renault Sales
57,020900,汽车销售,梅赛德斯-奔驰特约销售,梅赛德斯-奔驰销售,Auto Dealers,Mercedes-Benz Franchised Sales,Mercedes-Benz Sales
58,020904,汽车销售,梅赛德斯-奔驰特约销售,迈巴赫销售,Auto Dealers,Mercedes-Benz Franchised Sales,Maybach Sales
59,020905,汽车销售,梅赛德斯-奔驰特约销售,精灵销售,Auto Dealers,Mercedes-Benz Franchised Sales,Smart Sales
60,021000,汽车销售,丰田特约销售,丰田销售,Auto Dealers,Toyota Franchised Sales,Toyota Sales
61,021001,汽车销售,丰田特约销售,一汽丰田销售,Auto Dealers,Toyota Franchised Sales,FAW-Toyota Sales
62,021002,汽车销售,丰田特约销售,广汽丰田销售,Auto Dealers,Toyota Franchised Sales,GAC Toyota Sales
63,021003,汽车销售,丰田特约销售,雷克萨斯销售,Auto Dealers,Toyota Franchised Sales,Lexus Sales
64,021004,汽车销售,丰田特约销售,大发销售,Auto Dealers,Toyota Franchised Sales,Daihatsu Sales
65,021100,汽车销售,斯巴鲁特约销售,斯巴鲁销售,Auto Dealers,Subaru Franchised Sales,Subaru Sales
66,021200,汽车销售,标致雪铁龙特约销售,雪铁龙销售,Auto Dealers,Peugeot Citroen Franchised Sales,Citroen Sales
67,021201,汽车销售,标致雪铁龙特约销售,东风雪铁龙销售,Auto Dealers,Peugeot Citroen Franchised Sales,Dongfeng Citroen Sales
68,021202,汽车销售,标致雪铁龙特约销售,东风标致销售,Auto Dealers,Peugeot Citroen Franchised Sales,Dongfeng Peugeot Sales
69,021203,汽车销售,标致雪铁龙特约销售,DS销售,Auto Dealers,Peugeot Citroen,DS Sales
70,021300,汽车销售,三菱特约销售,三菱销售,Auto Dealers,Mitsubishi Franchised Sales,Mitsubishi Sales
71,021301,汽车销售,三菱特约销售,广汽三菱销售,Auto Dealers,Mitsubishi Franchised Sales,GAC Mitsubishi Sales
72,021400,汽车销售,菲亚特约销售,菲亚特销售,Auto Dealers,Fiat Franchised Sales,Fiat Sales
73,021401,汽车销售,菲亚特约销售,阿尔法-罗密欧销售,Auto Dealers,Fiat Franchised Sales,Alfa Romeo Sales
74,021500,汽车销售,法拉利特约销售,法拉利销售,Auto Dealers,Ferrari Franchised Sales,Ferrari Sales
75,021501,汽车销售,法拉利特约销售,玛莎拉蒂销售,Auto Dealers,Ferrari Franchised Sales,Maserati Sales
76,021600,汽车销售,现代特约销售,现代销售,Auto Dealers,Hyundai Franchised Sales,Hyundai Sales
77,021601,汽车销售,现代特约销售,进口现代销售,Auto Dealers,Hyundai Franchised Sales,Import Hyundai Sales
78,021602,汽车销售,现代特约销售,北京现代销售,Auto Dealers,Hyundai Franchised Sales,Beijing Hyundai Sales
79,021700,汽车销售,起亚特约销售,起亚销售,Auto Dealers,KIA Franchised Sales,KIA Sales
80,021701,汽车销售,起亚特约销售,进口起亚销售,Auto Dealers,KIA Franchised Sales,Import KIA Sales
81,021702,汽车销售,起亚特约销售,东风悦达起亚销售,Auto Dealers,KIA Franchised Sales,Dongfeng Yueda KIA Sales
82,021800,汽车销售,福特特约销售,福特销售,Auto Dealers,Ford Franchised Sales,Ford Sales
83,021802,汽车销售,福特特约销售,马自达销售,Auto Dealers,Ford Franchised Sales,Mazda Sales
84,021803,汽车销售,福特特约销售,林肯销售,Auto Dealers,Ford Franchised Sales,Lincoln Sales
85,021804,汽车销售,福特特约销售,水星销售,Auto Dealers,Ford Franchised Sales,Mercury Sales
86,021900,汽车销售,捷豹特约销售,捷豹销售,Auto Dealers,JAGUAR Franchised Sales,JAGUAR Sales
87,022000,汽车销售,路虎特约销售,路虎销售,Auto Dealers,Land Rover Franchised Sales,Land Rover Sales
88,022100,汽车销售,保时捷特约销售,保时捷销售,Auto Dealers,Porsche Franchised Sales,Porsche Sales
89,022200,汽车销售,东风特约销售,东风销售,Auto Dealers,DFM Franchised Sales,DFM Sales
90,022300,汽车销售,吉利特约销售,吉利销售,Auto Dealers,Geely Franchised Sales,Geely Sales
91,022301,汽车销售,吉利特约销售,沃尔沃汽车销售,Auto Dealers,Geely Franchised Sales,Volvo Cars Sales
92,022400,汽车销售,奇瑞特约销售,奇瑞销售,Auto Dealers,Chery Franchised Sales,Chery Sales
93,022500,汽车销售,克莱斯勒特约销售,克莱斯勒销售,Auto Dealers,Chrysler Franchised Sales,Chrysler Sales
94,022501,汽车销售,克莱斯勒特约销售,吉普销售,Auto Dealers,Chrysler Franchised Sales,Jeep Sales
95,022502,汽车销售,克莱斯勒特约销售,道奇销售,Auto Dealers,Chrysler Franchised Sales,Dodge Sales
96,022600,汽车销售,荣威销售,荣威销售,Auto Dealers,ROEWE Sales,ROEWE Sales
97,022700,汽车销售,名爵销售,名爵销售,Auto Dealers,MG Sales,MG Sales
98,022800,汽车销售,江淮销售,江淮销售,Auto Dealers,JAC Sales,JAC Sales
99,022900,汽车销售,红旗销售,红旗销售,Auto Dealers,Hongqi Sales,Hongqi Sales
100,023000,汽车销售,长安汽车销售,长安汽车销售,Auto Dealers,Chang'an Sales,Chang'an Sales
101,023100,汽车销售,海马汽车销售,海马汽车销售,Auto Dealers,Haima Sales,Haima Sales
102,023200,汽车销售,北京汽车销售,北京汽车销售,Auto Dealers,BAIC MOTOR Sales,BAIC MOTOR Sales
103,023300,汽车销售,长城汽车销售,长城汽车销售,Auto Dealers,Great Wall Sales,Great Wall Sales
104,023301,汽车销售,长城汽车销售,魏派汽车销售,Auto Dealers,Great Wall Sales,WEY Sales
105,023400,汽车销售,纳智捷销售,纳智捷销售,Auto Dealers,Luxgen Sales,Luxgen Sales
106,023500,汽车销售,广汽传祺销售,广汽传祺销售,Auto Dealers,GAC Trumpchi Sales,GAC Trumpchi Sales
107,025000,汽车销售,货车销售,货车销售,Auto Dealers,Truck Sales,Truck Sales
108,025100,汽车销售,东风货车销售,东风货车销售,Auto Dealers,Dongfeng Truck Sales,Dongfeng Truck Sales
109,025200,汽车销售,中国重汽销售,中国重汽销售,Auto Dealers,SINOTRUK Sales,SINOTRUK Sales
110,025300,汽车销售,一汽解放销售,一汽解放销售,Auto Dealers,FAW Jiefang Sales,FAW Jiefang Sales
111,025400,汽车销售,福田卡车销售,福田卡车销售,Auto Dealers,Foton Truck Sales,Foton Truck Sales
112,025500,汽车销售,陕西重汽销售,陕西重汽销售,Auto Dealers,Shaanxi Heavy-duty Truck Sales,Shaanxi Heavy-duty Truck Sales
113,025600,汽车销售,北奔重汽销售,北奔重汽销售,Auto Dealers,Beiben Trucks Sales,Beiben Trucks Sales
114,025700,汽车销售,江淮货车销售,江淮货车销售,Auto Dealers,JAC Truck Sales,JAC Truck Sales
115,025800,汽车销售,华菱星马销售,华菱星马销售,Auto Dealers,CAMC Sales,CAMC Sales
116,025900,汽车销售,成都大运汽车销售,成都大运汽车销售,Auto Dealers,Chengdu Dayun Automotive Sales,Chengdu Dayun Automotive Sales
117,026000,汽车销售,梅赛德斯-奔驰卡车销售,梅赛德斯-奔驰卡车销售,Auto Dealers,Mercedes-Benz Truck Sales,Mercedes-Benz Truck Sales
118,026100,汽车销售,德国曼恩销售,德国曼恩销售,Auto Dealers,MAN Sales,MAN Sales
119,026200,汽车销售,斯堪尼亚销售,斯堪尼亚销售,Auto Dealers,SCANIA Sales,SCANIA Sales
120,026300,汽车销售,沃尔沃卡车销售,沃尔沃卡车销售,Auto Dealers,Volvo Truck Sales,Volvo Truck Sales
121,029900,汽车销售,观致销售,观致销售,Auto Dealers,Qoros Sales,Qoros Sales
122,030000,汽车维修,汽车维修,汽车维修,Auto Repair,Automobile Repair,Automobile Repair
123,030100,汽车维修,汽车综合维修,汽车综合维修,Auto Repair,Automobile Comprehensive Repair,Automobile Comprehensive Repair
124,030200,汽车维修,大众特约维修,大众维修,Auto Repair,Volkswagen Franchised Repair,Volkswagen Repair
125,030201,汽车维修,大众特约维修,上海大众维修,Auto Repair,Volkswagen Franchised Repair,Shanghai Volkswagen Repair
126,030202,汽车维修,大众特约维修,一汽-大众维修,Auto Repair,Volkswagen Franchised Repair,FAW-Volkswagen Repair
127,030203,汽车维修,大众特约维修,斯柯达维修,Auto Repair,Volkswagen Franchised Repair,Skoda Repair
128,030204,汽车维修,大众特约维修,进口大众维修,Auto Repair,Volkswagen Franchised Repair,Import Volkswagen Repair
129,030205,汽车维修,大众特约维修,宾利维修,Auto Repair,Volkswagen Franchised Repair,Bentley Repair
130,030206,汽车维修,大众特约维修,兰博基尼维修,Auto Repair,Volkswagen Franchised Repair,Lamborghini Repair
131,030300,汽车维修,本田特约维修,本田维修,Auto Repair,Honda Franchised Repair,Honda Repair
132,030301,汽车维修,本田特约维修,广汽本田维修,Auto Repair,Honda Franchised Repair,GAC Honda Repair
133,030302,汽车维修,本田特约维修,东风本田维修,Auto Repair,Honda Franchised Repair,Dongfeng Honda Repair
134,030303,汽车维修,本田特约维修,本田讴歌维修,Auto Repair,Honda Franchised Repair,Acura Repair
135,030400,汽车维修,奥迪特约维修,奥迪维修,Auto Repair,Audi Franchised Repair,Audi Repair
136,030401,汽车维修,奥迪特约维修,一汽-大众奥迪维修,Auto Repair,Audi Franchised Repair,FAW-Audi Repair
137,030500,汽车维修,通用特约维修,通用维修,Auto Repair,General Motors Franchised Repair,General Motors Repair
138,030501,汽车维修,通用特约维修,凯迪拉克维修,Auto Repair,General Motors Franchised Repair,Cadillac Repair
139,030502,汽车维修,通用特约维修,别克维修,Auto Repair,General Motors Franchised Repair,Buick Repair
140,030503,汽车维修,通用特约维修,雪佛兰维修,Auto Repair,General Motors Franchised Repair,Chevrolet Repair
141,030504,汽车维修,通用特约维修,欧宝维修,Auto Repair,General Motors Franchised Repair,Opel Repair
142,030505,汽车维修,通用特约维修,萨博维修,Auto Repair,General Motors Franchised Repair,Saab Repair
143,030506,汽车维修,通用特约维修,沃克斯豪尔维修,Auto Repair,General Motors Franchised Repair,Vauxhall Repair
144,030507,汽车维修,通用特约维修,土星维修,Auto Repair,General Motors Franchised Repair,Saturn Repair
145,030508,汽车维修,通用特约维修,大宇维修,Auto Repair,General Motors Franchised Repair,Daewoo Repair
146,030700,汽车维修,宝马特约维修,宝马维修,Auto Repair,BMW Franchised Repair,BMW Repair
147,030701,汽车维修,宝马特约维修,宝马MINI维修,Auto Repair,BMW Franchised Repair,BMW MINI Repair
148,030702,汽车维修,宝马特约维修,劳斯莱斯维修,Auto Repair,BMW Franchised Repair,Rolls-Royce Repair
149,030800,汽车维修,日产特约维修,日产维修,Auto Repair,Nissan Franchised Repair,Nissan Repair
150,030801,汽车维修,日产特约维修,英菲尼迪维修,Auto Repair,Nissan Franchised Repair,Infiniti Repair
151,030802,汽车维修,日产特约维修,东风日产维修,Auto Repair,Nissan Franchised Repair,Dongfeng Nissan Repair
152,030803,汽车维修,日产特约维修,郑州日产维修,Auto Repair,Nissan Franchised Repair,Zhengzhou Nissan Repair
153,030900,汽车维修,雷诺特约维修,雷诺维修,Auto Repair,Renault Franchised Repair,Renault Repair
154,031000,汽车维修,梅赛德斯-奔驰特约维修,梅赛德斯-奔驰维修,Auto Repair,Mercedes-Benz Franchised Repair,Mercedes-Benz Repair
155,031004,汽车维修,梅赛德斯-奔驰特约维修,迈巴赫维修,Auto Repair,Mercedes-Benz Franchised Repair,Maybach Repair
156,031005,汽车维修,梅赛德斯-奔驰特约维修,精灵维修,Auto Repair,Mercedes-Benz Franchised Repair,Smart Repair
157,031100,汽车维修,丰田特约维修,丰田维修,Auto Repair,Toyota Franchised Repair,Toyota Repair
158,031101,汽车维修,丰田特约维修,一汽丰田维修,Auto Repair,Toyota Franchised Repair,FAW-Toyota Repair
159,031102,汽车维修,丰田特约维修,广汽丰田维修,Auto Repair,Toyota Franchised Repair,GAC Toyota Repair
160,031103,汽车维修,丰田特约维修,雷克萨斯维修,Auto Repair,Toyota Franchised Repair,Lexus Repair
161,031104,汽车维修,丰田特约维修,大发维修,Auto Repair,Toyota Franchised Repair,Daihatsu Repair
162,031200,汽车维修,斯巴鲁特约维修,斯巴鲁维修,Auto Repair,Subaru Franchised Repair,Subaru Repair
163,031300,汽车维修,标致雪铁龙特约维修,雪铁龙维修,Auto Repair,Peugeot Citroen Franchised Repair,Citroen Repair
164,031301,汽车维修,标致雪铁龙特约维修,东风标致维修,Auto Repair,Peugeot Citroen Franchised Repair,Dongfeng Peugeot Repair
165,031302,汽车维修,标致雪铁龙特约维修,东风雪铁龙维修,Auto Repair,Peugeot Citroen Franchised Repair,Dongfeng Citroen Repair
166,031303,汽车维修,标致雪铁龙特约维修,DS维修,Auto Repair,Peugeot Citroen,DS Repair
167,031400,汽车维修,三菱特约维修,三菱维修,Auto Repair,Mitsubishi Franchised Repair,Mitsubishi Repair
168,031401,汽车维修,三菱特约维修,广汽三菱维修,Auto Repair,Mitsubishi Franchised Repair,GAC Mitsubishi Repair
169,031500,汽车维修,菲亚特特约维修,菲亚特维修,Auto Repair,Fiat Franchised Repair,Fiat Repair
170,031501,汽车维修,菲亚特特约维修,阿尔法-罗密欧维修,Auto Repair,Fiat Franchised Repair,Alfa Romeo Repair
171,031600,汽车维修,法拉利特约维修,法拉利维修,Auto Repair,Ferrari Franchised Repair,Ferrari Repair
172,031601,汽车维修,法拉利特约维修,玛莎拉蒂维修,Auto Repair,Ferrari Franchised Repair,Maserati Repair
173,031700,汽车维修,现代特约维修,现代维修,Auto Repair,Hyundai Franchised Repair,Hyundai Repair
174,031701,汽车维修,现代特约维修,进口现代维修,Auto Repair,Hyundai Franchised Repair,Import Hyundai Repair
175,031702,汽车维修,现代特约维修,北京现代维修,Auto Repair,Hyundai Franchised Repair,Beijing Hyundai Repair
176,031800,汽车维修,起亚特约维修,起亚维修,Auto Repair,KIA Franchised Repair,KIA Repair
177,031801,汽车维修,起亚特约维修,进口起亚维修,Auto Repair,KIA Franchised Repair,Import KIA Repair
178,031802,汽车维修,起亚特约维修,东风悦达起亚维修,Auto Repair,KIA Franchised Repair,Dongfeng Yueda KIA Repair
179,031900,汽车维修,福特特约维修,福特维修,Auto Repair,Ford Franchised Repair,Ford Repair
180,031902,汽车维修,福特特约维修,马自达维修,Auto Repair,Ford Franchised Repair,Mazda Repair
181,031903,汽车维修,福特特约维修,林肯维修,Auto Repair,Ford Franchised Repair,Lincoln Repair
182,031904,汽车维修,福特特约维修,水星维修,Auto Repair,Ford Franchised Repair,Mercury Repair
183,032000,汽车维修,捷豹特约维修,捷豹维修,Auto Repair,JAGUAR Franchised Repair,JAGUAR Repair
184,032100,汽车维修,路虎特约维修,路虎维修,Auto Repair,Land Rover Franchised Repair,Land Rover Repair
185,032200,汽车维修,保时捷特约维修,保时捷维修,Auto Repair,Porsche Franchised Repair,Porsche Repair
186,032300,汽车维修,东风特约维修,东风维修,Auto Repair,DFM Franchised Repair,DFM Repair
187,032400,汽车维修,吉利特约维修,吉利维修,Auto Repair,Geely Franchised Repair,Geely Repair
188,032401,汽车维修,吉利特约维修,沃尔沃汽车维修,Auto Repair,Geely Franchised Repair,Volvo Cars Repair
189,032500,汽车维修,奇瑞特约维修,奇瑞维修,Auto Repair,Chery Franchised Repair,Chery Repair
190,032600,汽车维修,克莱斯勒特约维修,克莱斯勒维修,Auto Repair,Chrysler Franchised Repair,Chrysler Repair
191,032601,汽车维修,克莱斯勒特约维修,吉普维修,Auto Repair,Chrysler Franchised Repair,Jeep Repair
192,032602,汽车维修,克莱斯勒特约维修,道奇维修,Auto Repair,Chrysler Franchised Repair,Dodge Repair
193,032700,汽车维修,荣威维修,荣威维修,Auto Repair,ROEWE Repair,ROEWE Repair
194,032800,汽车维修,名爵维修,名爵维修,Auto Repair,MG Repair,MG Repair
195,032900,汽车维修,江淮维修,江淮维修,Auto Repair,JAC Repair,JAC Repair
196,033000,汽车维修,红旗维修,红旗维修,Auto Repair,Hongqi Repair,Hongqi Repair
197,033100,汽车维修,长安汽车维修,长安汽车维修,Auto Repair,Chang'an Repair,Chang'an Repair
198,033200,汽车维修,海马汽车维修,海马汽车维修,Auto Repair,Haima Repair,Haima Repair
199,033300,汽车维修,北京汽车维修,北京汽车维修,Auto Repair,BAIC MOTOR Repair,BAIC MOTOR Repair
200,033400,汽车维修,长城汽车维修,长城汽车维修,Auto Repair,Great Wall Repair,Great Wall Repair
201,033401,汽车维修,长城汽车维修,魏派汽车维修,Auto Repair,Great Wall Repair,WEY Repair
202,033500,汽车维修,纳智捷维修,纳智捷维修,Auto Repair,Luxgen Repair,Luxgen Repair
203,033600,汽车维修,广汽传祺维修,广汽传祺维修,Auto Repair,GAC Trumpchi Repair,GAC Trumpchi Repair
204,035000,汽车维修,货车维修,货车维修,Auto Repair,Truck Repair,Truck Repair
205,035100,汽车维修,东风货车维修,东风货车维修,Auto Repair,Dongfeng Truck Repair,Dongfeng Truck Repair
206,035200,汽车维修,中国重汽维修,中国重汽维修,Auto Repair,SINOTRUK Repair,SINOTRUK Repair
207,035300,汽车维修,一汽解放维修,一汽解放维修,Auto Repair,FAW Jiefang Repair,FAW Jiefang Repair
208,035400,汽车维修,福田卡车维修,福田卡车维修,Auto Repair,Foton Truck Repair,Foton Truck Repair
209,035500,汽车维修,陕西重汽维修,陕西重汽维修,Auto Repair,Shaanxi Heavy-duty Truck Repair,Shaanxi Heavy-duty Truck Repair
210,035600,汽车维修,北奔重汽维修,北奔重汽维修,Auto Repair,Beiben Trucks Repair,Beiben Trucks Repair
211,035700,汽车维修,江淮货车维修,江淮货车维修,Auto Repair,JAC Truck Repair,JAC Truck Repair
212,035800,汽车维修,华菱星马维修,华菱星马维修,Auto Repair,CAMC Repair,CAMC Repair
213,035900,汽车维修,成都大运汽车维修,成都大运汽车维修,Auto Repair,Chengdu Dayun Automotive Repair,Chengdu Dayun Automotive Repair
214,036000,汽车维修,梅赛德斯-奔驰卡车维修,梅赛德斯-奔驰卡车维修,Auto Repair,Mercedes-Benz Truck Repair,Mercedes-Benz Truck Repair
215,036100,汽车维修,德国曼恩维修,德国曼恩维修,Auto Repair,MAN Repair,MAN Repair
216,036200,汽车维修,斯堪尼亚维修,斯堪尼亚维修,Auto Repair,SCANIA Repair,SCANIA Repair
217,036300,汽车维修,沃尔沃卡车维修,沃尔沃卡车维修,Auto Repair,Volvo Truck Repair,Volvo Truck Repair
218,039900,汽车维修,观致维修,观致维修,Auto Repair,Qoros Repair,Qoros Repair
219,040000,摩托车服务,摩托车服务相关,摩托车服务相关,Motorcycle Service,Motorcycle Service Related,Motorcycle Service Related
220,040100,摩托车服务,摩托车销售,摩托车销售,Motorcycle Service,Motorcycle Sales,Motorcycle Sales
221,040101,摩托车服务,摩托车销售,宝马摩托车销售,Motorcycle Service,Motorcycle Sales,BMW Motorcycle Sales
222,040200,摩托车服务,摩托车维修,摩托车维修,Motorcycle Service,Motorcycle Repair,Motorcycle Repair
223,040201,摩托车服务,摩托车维修,宝马摩托车维修,Motorcycle Service,Motorcycle Repair,BMW Motorcycle Repair
224,050000,餐饮服务,餐饮相关场所,餐饮相关,Food & Beverages,Food & Beverages Related,Food & Beverages Related
225,050100,餐饮服务,中餐厅,中餐厅,Food & Beverages,Chinese Food Restaurant,Chinese Food Restaurant
226,050101,餐饮服务,中餐厅,综合酒楼,Food & Beverages,Chinese Food Restaurant,Complex Food
227,050102,餐饮服务,中餐厅,四川菜(川菜),Food & Beverages,Chinese Food Restaurant,Sichuan Food
228,050103,餐饮服务,中餐厅,广东菜(粤菜),Food & Beverages,Chinese Food Restaurant,Cantonese Food
229,050104,餐饮服务,中餐厅,山东菜(鲁菜),Food & Beverages,Chinese Food Restaurant,Shandong Food
230,050105,餐饮服务,中餐厅,江苏菜,Food & Beverages,Chinese Food Restaurant,Jiangsu Food
231,050106,餐饮服务,中餐厅,浙江菜,Food & Beverages,Chinese Food Restaurant,Zhejiang Food
232,050107,餐饮服务,中餐厅,上海菜,Food & Beverages,Chinese Food Restaurant,Shanghai Food
233,050108,餐饮服务,中餐厅,湖南菜(湘菜),Food & Beverages,Chinese Food Restaurant,Hunan Food
234,050109,餐饮服务,中餐厅,安徽菜(徽菜),Food & Beverages,Chinese Food Restaurant,Anhui Food
235,050110,餐饮服务,中餐厅,福建菜,Food & Beverages,Chinese Food Restaurant,Fujian Food
236,050111,餐饮服务,中餐厅,北京菜,Food & Beverages,Chinese Food Restaurant,Beijing Food
237,050112,餐饮服务,中餐厅,湖北菜(鄂菜),Food & Beverages,Chinese Food Restaurant,Hubei Food
238,050113,餐饮服务,中餐厅,东北菜,Food & Beverages,Chinese Food Restaurant,Northeastern Chinese Food
239,050114,餐饮服务,中餐厅,云贵菜,Food & Beverages,Chinese Food Restaurant,Yunnan & Guizhou Food
240,050115,餐饮服务,中餐厅,西北菜,Food & Beverages,Chinese Food Restaurant,Northwestern Chinese Food
241,050116,餐饮服务,中餐厅,老字号,Food & Beverages,Chinese Food Restaurant,Traditional Brand
242,050117,餐饮服务,中餐厅,火锅店,Food & Beverages,Chinese Food Restaurant,Hotpot Restaurant
243,050118,餐饮服务,中餐厅,特色/地方风味餐厅,Food & Beverages,Chinese Food Restaurant,Local Special Food
244,050119,餐饮服务,中餐厅,海鲜酒楼,Food & Beverages,Chinese Food Restaurant,Sea Food
245,050120,餐饮服务,中餐厅,中式素菜馆,Food & Beverages,Chinese Food Restaurant,Vegetarian Food
246,050121,餐饮服务,中餐厅,清真菜馆,Food & Beverages,Chinese Food Restaurant,Islamic Food
247,050122,餐饮服务,中餐厅,台湾菜,Food & Beverages,Chinese Food Restaurant,Taiwan Food
248,050123,餐饮服务,中餐厅,潮州菜,Food & Beverages,Chinese Food Restaurant,Chaozhou Food
249,050200,餐饮服务,外国餐厅,外国餐厅,Food & Beverages,Foreign Food Restaurant,Foreign Food Restaurant
250,050201,餐饮服务,外国餐厅,西餐厅(综合风味),Food & Beverages,Foreign Food Restaurant,Western Restaurant
251,050202,餐饮服务,外国餐厅,日本料理,Food & Beverages,Foreign Food Restaurant,Japanese Cuisine
252,050203,餐饮服务,外国餐厅,韩国料理,Food & Beverages,Foreign Food Restaurant,South Korean Cuisine
253,050204,餐饮服务,外国餐厅,法式菜品餐厅,Food & Beverages,Foreign Food Restaurant,French Food
